id,product description,barcode,price_lbp,price_usd,category,sub_category,stock_in_geitawi_branch,stock_in_medawar_branch,image_name,new_items,offers,suppliers
3,JUNAL 500ML,0,105000,1.173184358,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
5,PRIVATE CONFIDENCE NORMAL 12-del,0,165000,1.843575419,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
9,AL HALABI PUMPKIN SEEDS 175G,0,110000,1.229050279,FOOD,OTHER FOOD,0,0,0,0,0, No Supplier
19,ARAK TOUMA 4CL,0,35000,0.391061453,BEVERAGES,ALCOHOLIC,0,0,0,0,0, No Supplier
49,ARAK LITANI 25 CL,0,170000,1.899441341,BEVERAGES,ALCOHOLIC,0,0,0,0,0, No Supplier
58,ARAK AL LYALIN 75 CL,5287000627061,150000,1.675977654,BEVERAGES,ALCOHOLIC,0,0,0,0,0, No Supplier
62,WINE MASSAYA BLANC 201975 CL,5285000380122,695000,7.765363128,BEVERAGES,ALCOHOLIC,0,0,0,0,0, No Supplier
76,BEEFEATER LONDON DRY GIN 750ML,5000329002537-5000329002230,990000,11.06145251,FOOD,OTHER FOOD,0,0,0,0,0, No Supplier
85,FLAMINGER 70 CL,0,370000,4.134078212,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
86,MERNAYA VODKA 100CL,4820225080467,525000,5.865921788,BEVERAGES,ALCOHOLIC,5,16,0,0,0, No Supplier
116,CREAM DE CACAO KASSALTLY 70CL,0,520000,5.810055866,HOME USAGE,TOOLS,3,3,0,0,0, No Supplier
133,MOSKOVOSKAYA,4750021001048-4750021001062,310000,3.463687151,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
134,VODKA ABSOLUT 75 CL,7312040017010,820000,9.162011173,BEVERAGES,ALCOHOLIC,0,0,0,0,0, No Supplier
152,STOLICHNAYA 5CL,0,95000,1.061452514,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
186,BELLUGA VODKA 1LTR,0,1945000,21.73184358,BEVERAGES,ALCOHOLIC,0,0,0,0,0, No Supplier
198,NEMIROFF VODKA 1.75 LTR,4820181425104,850000,9.497206704,BEVERAGES,ALCOHOLIC,0,0,0,0,0, No Supplier
214,VODKA NEMIROVSKAYA 1 L,0,385000,4.301675978,BEVERAGES,ALCOHOLIC,0,0,0,0,0, No Supplier
215,VODKA VANOFF 1 L,5287000387491,305000,3.407821229,BEVERAGES,ALCOHOLIC,0,0,0,0,0, No Supplier
229,D.W.L 750 ML,5281110226008,1080000,12.06703911,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
230,VODKA N 1,3582910077213,250000,2.793296089,BEVERAGES,ALCOHOLIC,0,0,0,0,0, No Supplier
232,FLORA,0,40000,0.446927374,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
239,BELENKAYA VODKA 20CL,4602486002798,100000,1.117318436,BEVERAGES,ALCOHOLIC,0,0,0,0,0, No Supplier
240,SILVER HILLS VODKA 20 CL,3800500757810,125000,1.396648045,BEVERAGES,ALCOHOLIC,0,0,0,0,0, No Supplier
246,CHIVAS REGAL 12 YRS,080432400395,2015000,22.51396648,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
264,DEWARS WHITE LABEL 1L,5000277001255-5281110223595,1725000,19.27374302,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
270,DEWARS WHITE LABEL 1.14L,0,1390000,15.53072626,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
277,DEWARS WHITE LABEL 750ML,5000277001101,1275000,14.24581006,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
292,BLACK LABEL 37.5 CL,50267590,1510000,16.87150838,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
311,GOLD LABEL RESERVE 75CL,5000267107776,5895000,65.86592179,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
365,WILLIAM LAWSONS 1L + FREE SCREW DRIVER,0,1030000,11.50837989,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
374,JW BLACK POCKET 20CL,5000267171654,790000,8.826815642,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
386,DEWARS WHITE LABEL 75CL,5281110226237,1275000,14.24581006,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
389,BLACK LABEL LIMITED EDITION DESIGN 1L,5000267179810,3555000,39.72067039,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
391,GLENBEY 70 CL,5280190013621,480000,5.363128492,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
408,CORONA EXTRA BEER,75032814,180000,2.011173184,BEVERAGES,ALCOHOLIC,0,0,0,0,0, No Supplier
461,ALMAZA DARK 33CL,5281012003264,105000,1.173184358,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
474,LE BRESELLIEN SOFT 250G,0,210000,2.346368715,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
476,NESCAFE RED MUG SOLUBLE COFFEE 200G XI,0,725000,8.100558659,BEVERAGES,HOT DRINKS,0,0,0,0,0, No Supplier
510,NESCAFE 2IN1,0,15000,0.167597765,BEVERAGES,HOT DRINKS,0,0,0,0,0, No Supplier
588,FRESH COFFEE NAJJAR,2700068,945000,10.55865922,BEVERAGES,HOT DRINKS,4,0,0,0,0, No Supplier
592,NESCAFE SUGAR FREE 2 IN 11.7G*30,0,10000,0.111731844,BEVERAGES,HOT DRINKS,0,0,0,0,0, No Supplier
596,CAFE NAJJAR DECAF 200GR,022644000284,180000,2.011173184,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
0,0,0,0,0,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
0,0,0,0,0,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
609,COFFEE NAJJAR WITH CARDAMON,2700069,515000,5.754189944,BEVERAGES,HOT DRINKS,0,0,0,0,0, No Supplier
627,DIWAN COFFEE 200G,5289000056308,120000,1.340782123,BEVERAGES,HOT DRINKS,0,0,0,0,0, No Supplier
644,ESPRESSO,0,35000,0.391061453,HOME USAGE,TOOLS,0,-1,0,0,0, No Supplier
649,CAFFECREMA 3 IN 1 20,0,15000,0.167597765,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
668,NESCAFE CLASSIC 30 +10 FREE,8992696427587,780000,8.715083799,BEVERAGES,HOT DRINKS,0,0,0,0,0, No Supplier
672,STAR CAFE,0022644000338,240000,2.681564246,HOME USAGE,TOOLS,-3,-3,0,0,0, No Supplier
885,MARVY 28G,5283014927869-5283014927876,20000,0.223463687,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
896,PIKO 1L,5281092171136-5281092172034,120000,1.340782123,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
967,TRUST PLASTICO,0,105000,1.173184358,HOME USAGE,PICNIC AND OFFICE USE,0,0,0,0,0, No Supplier
990,PUCK PROCESSED CHEESE 240 G,5283018700055,205000,2.290502793,FOOD,PROCESSED CHEESE,0,0,0,0,0, No Supplier
1030,REGILAIT FAT FREE SACHET 400GR,0,545000,6.089385475,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1041,REGILAIT FAT FREE 800GR,0,1095000,12.23463687,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1070,REGILAIT LOW FAT,0,940000,10.5027933,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1130,SOHAT 1.5 LITER,02399577-5289000061807,40000,0.446927374,HOME USAGE,TOOLS,-1,0,0,0,0, No Supplier
1134,LEYA ROSE WATER 250 ML,0,60000,0.670391061,BEVERAGES,COLD DRINKS,0,0,0,0,0, No Supplier
1167,BLOSSOM AND ROSE WATER 250 ML,5283034100211-5283034100181,85000,0.94972067,BEVERAGES,COLD DRINKS,0,0,0,0,0, No Supplier
1210,FREEZ BLACK 275ML,762571500210,85000,0.94972067,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1325,REDBULL THE YELLOW EDITION,90453373,180000,2.011173184,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1346,ATTAR ANISEED 25BAGS+25%FREE,6212900008732,195000,2.17877095,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1361,LIPTON CLEAR GREEN 100,0,450000,5.027932961,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1417,TAJ TEA 20 SACHET,0,60000,0.670391061,BEVERAGES,HOT DRINKS,0,0,0,0,0, No Supplier
1418,TAJ TEA 140GR,0,160000,1.787709497,BEVERAGES,HOT DRINKS,0,0,0,0,0, No Supplier
1430,AL OUTOUR TEA,0,180000,2.011173184,BEVERAGES,HOT DRINKS,0,0,0,0,0, No Supplier
1458,TANNOURINE 330ML 12 BOTTLES,0,160000,1.787709497,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1474,CHICKLETS,0,15000,0.167597765,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1577,LOLLIPOP,6924872200129,15000,0.167597765,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1799,HALLS,7622210961068,35000,0.391061453,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1822,CHEQUE GUM,5283003710137-5283003710663,15000,0.167597765,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1857,ROCHAN DROBS 1KG,0,355000,3.966480447,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1864,MASSIMO IL CAFFE,0,120000,1.340782123,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1865,BUBBLICIOUS GUM 38G,7622210479563-7622210479525,25000,0.279329609,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1919,ALTITUDE IXSIR RED 37.5CL 2012,5285002860868,1850000,20.67039106,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1929,LES BRETECHES 2019 750 ML,0,230000,2.569832402,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1931,MASSAYA BLANC 750ML,5285000380108,695000,7.765363128,HOME USAGE,TOOLS,0,0,0,0,0, No Supplier
1933,BRETECHES CHATEAU KEFRAYA,5281004011185-5281004051198,320000,3.575418994,BEVERAGES,HOT DRINKS,0,0,0,0,0, No Supplier
